EmployeeID,Salary,Country,Passcode
16370707 -2629,"$97,474",Israel,PRO41YJX9PI
16460714 -7560,"$55,555",Reunion,PQI64VLW8AL
16320930 -8257,"$97,093",Bangladesh,PNE92NDK5WO
16940530 -7811,"$45,890",Armenia,PIO29UNL2DI
16321008 -7569,"$52,151",Belize,PHM06BNX3EF
16380615 -8873,"$61,274",Cocos (Keeling) Islands,PHF11XAN6BW
16031211 -8540,"$72,771",Comoros,PAT27JJA6XB
16780611 -9611,"$46,370",Belarus,NSG68IQE9UX
16220620 -2521,"$53,202",Kyrgyzstan,NLE71XAR6BF
16470709 -9687,"$29,954",New Caledonia,NHL82EZX5IV
16281122 -3656,"$24,317",Mauritania,NCF31JON0VO
16771029 -3742,"$33,759",Dominican Republic,MXF71GFR6KB
16780528 -2444,"$29,932",Puerto Rico,MQY19CND7CX
16770513 -8902,"$41,075",Niue,MQU39OAV8FZ
16080512 -1522,"$17,611",Bhutan,MMY82OHH0QW
16520122 -5884,"$72,222",Pitcairn Islands,MHH62SVH4NS
16320501 -2853,"$40,312",Saint Kitts and Nevis,LQN67LIY7ZL
16700327 -0803,"$61,388",Niue,LNL76EXV3OF
16700713 -1183,"$99,378",Bouvet Island,LMA16BPO4VQ
16070214 -4304,"$29,284",Saint Barthélemy,LLX37SJF7HT
16790604 -2358,"$58,057",Argentina,LIT00HBL3DU
16330714 -5197,"$95,844",Bouvet Island,LHL13ERZ6PE
16980624 -1155,"$57,782",Tajikistan,LCK04CXF2YJ
16040828 -9221,"$89,983","Virgin Islands, United States",KXY23CHX2OC
16661002 -7721,"$92,068",Antarctica,KXY20IFK3HJ
16870817 -6782,"$19,681",Eritrea,KNN72CNW0ZX
16300805 -9572,"$82,270",Qatar,JQG85XIO3EH
16740306 -9599,"$95,022",Cameroon,JMP28WWL3HL
16450126 -6136,"$91,435",Saint Barthélemy,JHW81CVH0XO
16001018 -0115,"$28,689",Guatemala,JFH58LTF7LS
16040110 -9038,"$19,785",Bolivia,JEQ68XYP3MN
16250807 -8058,"$94,259",United States,JBE70KFC9TT
16120428 -6379,"$82,026",Guinea-Bissau,IVR42SIN5ZY
16100501 -2636,"$01,702",Mexico,ITO91QFT9AO
16900425 -1949,"$72,343",Slovakia,IMO18NNH4CO
16180923 -8320,"$77,352",Czech Republic,IAY65QLB0DW
16860827 -5163,"$02,170",Greece,IAV06JEU9KN
16870428 -2006,"$72,387",Lebanon,HLR29ONO5BA
16411227 -1426,"$18,188",Peru,HJU89CLT3LQ
16390525 -0423,"$17,055",American Samoa,GYB48QNE4QP
16570315 -0473,"$81,641",Hungary,GNX11BBW6WD
16290908 -4143,"$57,366",Denmark,GKM89KAW9YT
16900709 -5269,"$65,492",Palau,GCQ58GRR0TB
16530306 -3043,"$82,829",Grenada,FPR29JVR0OL
16450709 -0605,"$92,358",Iceland,FJV31XFV1CB
16241029 -4694,"$47,625",Marshall Islands,FAN93HUL8BZ
16020401 -5051,"$33,868",Kazakhstan,FAK20ZLP2XX
16240229 -7440,"$30,634",Bulgaria,EMA72GRK7UJ
16481018 -3659,"$62,436",Tunisia,EJX11VGO4NR
16271015 -2063,"$55,312","Palestine, State of",DYG17BIA8DA
16861207 -8744,"$95,817",United Arab Emirates,DXF27TDK3QY
16030612 -9305,"$65,670",Haiti,DRK47IOB8ZU
16760229 -4972,"$19,405",Italy,DBR90CNS1IQ
16160230 -4113,"$26,126","Virgin Islands, United States",CYF43NLU7YB
16420222 -0788,"$00,217",Brazil,BYL56MQQ7UU
16211208 -5887,"$90,550","Virgin Islands, British",BWW21VZJ9GA
16621021 -3960,"$23,091",Kiribati,BSU32SGK4UJ
16670825 -5283,"$30,374",Togo,BSG53SFN9AQ
16390625 -6379,"$88,923",French Guiana,BQG44QPA9BP
16430114 -1661,"$49,501",El Salvador,BNH98VIZ7PS
16921013 -8617,"$44,655",Spain,BMW02NVJ1LA
16690717 -5134,"$00,246",Sao Tome and Principe,BIJ26HVK4MK
16460418 -1489,"$81,881",Belarus,AVO94PMA2HA
16300419 -7541,"$82,089",Puerto Rico,ATR70JWN6DU
16060415 -7529,"$71,823",Rwanda,AMK92WUZ6MP
16230609 -8241,"$01,418",Chad,AAI71NNO2AR
